Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-30 18:00:00-05:00,4245.10009765625,4261.0,4214.89990234375,4257.2998046875,5047,0.0,0.0
2025-11-30 19:00:00-05:00,4257.5,4269.7998046875,4222.7998046875,4267.2001953125,8056,0.0,0.0
2025-11-30 20:00:00-05:00,4266.7001953125,4291.39990234375,4223.0,4290.60009765625,13870,0.0,0.0
2025-11-30 21:00:00-05:00,4290.7001953125,4291.7998046875,4237.89990234375,4277.7998046875,10333,0.0,0.0
2025-11-30 22:00:00-05:00,4278.0,4278.89990234375,4267.0,4273.7998046875,8888,0.0,0.0
2025-11-30 23:00:00-05:00,4274.10009765625,4281.89990234375,4270.7998046875,4280.5,3903,0.0,0.0
2025-12-01 00:00:00-05:00,4280.5,4281.2998046875,4220.2998046875,4263.5,12935,0.0,0.0
2025-12-01 01:00:00-05:00,4263.60009765625,4273.89990234375,4259.60009765625,4269.89990234375,6513,0.0,0.0
2025-12-01 02:00:00-05:00,4270.2001953125,4280.0,4239.39990234375,4278.89990234375,5680,0.0,0.0
2025-12-01 03:00:00-05:00,4278.7001953125,4288.7998046875,4245.7998046875,4279.2001953125,7973,0.0,0.0
2025-12-01 04:00:00-05:00,4279.2998046875,4287.0,4277.7998046875,4284.2998046875,6043,0.0,0.0
2025-12-01 05:00:00-05:00,4284.2998046875,4297.7998046875,4250.89990234375,4290.7001953125,9860,0.0,0.0
2025-12-01 06:00:00-05:00,4290.7998046875,4294.0,4252.2001953125,4290.0,4244,0.0,0.0
2025-12-01 07:00:00-05:00,4289.7001953125,4292.10009765625,4252.2001953125,4280.7998046875,6645,0.0,0.0
2025-12-01 08:00:00-05:00,4280.60009765625,4299.60009765625,4250.2001953125,4281.7001953125,13160,0.0,0.0
2025-12-01 09:00:00-05:00,4281.7001953125,4283.7001953125,4225.60009765625,4273.2001953125,24801,0.0,0.0
2025-12-01 10:00:00-05:00,4274.10009765625,4279.0,4219.2998046875,4265.2001953125,23520,0.0,0.0
2025-12-01 11:00:00-05:00,4265.39990234375,4275.7001953125,4223.60009765625,4258.89990234375,16612,0.0,0.0
2025-12-01 12:00:00-05:00,4259.10009765625,4273.2001953125,4222.89990234375,4265.2001953125,10338,0.0,0.0
2025-12-01 13:00:00-05:00,4265.5,4278.7998046875,4230.39990234375,4274.2001953125,9476,0.0,0.0
2025-12-01 14:00:00-05:00,4274.2998046875,4278.0,4239.2998046875,4270.7998046875,5532,0.0,0.0
2025-12-01 15:00:00-05:00,4270.89990234375,4276.0,4237.10009765625,4270.7998046875,5001,0.0,0.0
2025-12-01 16:00:00-05:00,4270.7998046875,4274.10009765625,4236.0,4265.0,1818,0.0,0.0
2025-12-01 18:00:00-05:00,4265.2998046875,4269.2001953125,4230.5,4260.10009765625,0,0.0,0.0
2025-12-01 19:00:00-05:00,4260.39990234375,4262.89990234375,4254.39990234375,4259.60009765625,3976,0.0,0.0
2025-12-01 20:00:00-05:00,4259.7001953125,4260.0,4199.7001953125,4251.10009765625,16108,0.0,0.0
2025-12-01 21:00:00-05:00,4250.7998046875,4255.89990234375,4220.39990234375,4253.0,5094,0.0,0.0
2025-12-01 22:00:00-05:00,4252.89990234375,4257.39990234375,4219.2001953125,4247.7001953125,5349,0.0,0.0
2025-12-01 23:00:00-05:00,4247.89990234375,4251.89990234375,4244.39990234375,4249.10009765625,4248,0.0,0.0
2025-12-02 00:00:00-05:00,4249.7001953125,4256.89990234375,4246.39990234375,4256.5,4954,0.0,0.0
2025-12-02 01:00:00-05:00,4256.2998046875,4258.10009765625,4234.39990234375,4244.0,8176,0.0,0.0
